24;Suffolk;New%20York;2362.2;912.05;1493350;632;1637;1494388;633;1638;29.97632;1498816;635;1643;4428;0.3;Riverhead
25;Sacramento;California;2498.42;964.64;1418788;568;1471;1422094;569;1474;28.7221;1436105;575;1489;14011;0.99;Sacramento
26;Bronx;New%20York;109.03;42.1;1385108;12704;32903;1387159;12723;32952;27.84004;1392002;12767;33067;4843;0.35;Bronx
27;Nassau;New%20York;737.41;284.72;1339532;1817;4705;1341033;1819;4710;26.88872;1344436;1823;4722;3403;0.25;Mineola
28;Palm%20Beach;Florida;5101.66;1969.76;1320134;259;670;1322924;259;672;26.70374;1335187;262;678;12263;0.93;West%20Palm%20Beach
29;Cuyahoga;Ohio;1184.12;457.19;1280122;1081;2800;1278000;1079;2795;25.40588;1270294;1073;2778;-7706;-0.6;Cleveland
30;Hillsborough;Florida;2642.34;1020.21;1229226;465;1205;1233373;467;1209;25.3555;1267775;480;1243;34402;II.79;Tampa
31;Allegheny;Pennsylvania;1890.88;730.07;1223348;647;1676;1224833;648;1678;24.54132;1227066;649;1681;2233;0.18;Pittsburgh
32;Oakland;Michigan;2247.24;867.66;1202362;535;1386;1202682;535;1386;24.2029;1210145;539;1395;7463;0.62;Pontiac
33;Franklin;Ohio;1378.36;532.19;1163414;844;2186;1165789;846;2191;23.57598;1178799;855;2215;13010;01.XII;Columbus
34;Orange;Florida;2339.87;903.43;1145956;490;1268;1148787;491;1272;23.38214;1169107;500;1294;20320;I.77;Orlando
35;Hennepin;Minnesota;1433.79;553.59;1152425;804;2082;1154067;805;2085;23.36862;1168431;815;2111;14364;I.24;Minneapolis
36;Fairfax;Virginia;1012.6;390.97;1081726;1068;2767;1085934;1072;2778;22.01384;1100692;1087;2815;14758;I.36;Fairfax
37;Contra%20Costa;California;1854.27;715.94;1049025;566;1465;1052605;568;1470;21.32192;1066096;575;1489;13491;I.28;Martinez
38;Travis;Texas;2564.61;990.2;1024266;399;1034;1030588;402;1041;21.2626;1063130;415;1074;32542;III.16;Austin
39;Salt%20Lake;Utah;1922.5;742.28;1029655;536;1387;1033223;537;1392;20.9797;1048985;546;1413;15762;I.53;Salt%20Lake%20City
40;St.%20Louis;Missouri;1315.2;507.8;998954;760;1967;998772;759;1967;19.97384;998692;759;1967;-80;-0.01;Clayton
41;Montgomery;Maryland;1272.34;491.25;971777;764;1978;975439;767;1986;19.79588;989794;778;2015;14355;I.47;Rockville
